Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
FreeStyleDiabet,Thu Dec 01 00:14:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Wed Nov 30 17:44:33 +0000 2016,1,344,15662,
FreeStyleDiabet,Wed Nov 30 01:49:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Wed Nov 30 01:49:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Tue Nov 29 21:02:56 +0000 2016,2,344,15662,
FreeStyleDiabet,Tue Nov 29 18:08:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Tue Nov 29 18:07:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Tue Nov 29 17:30:10 +0000 2016,3,344,15662,
FreeStyleDiabet,Mon Nov 28 21:02:30 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 21:01:21 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 20:49:41 +0000 2016,1,344,15662,
FreeStyleDiabet,Mon Nov 28 19:27:07 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 19:27:07 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 19:27:06 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 19:26:07 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 16:25:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 28 04:59:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Sun Nov 27 05:56:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Sun Nov 27 05:55:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Sun Nov 27 05:55:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Sat Nov 26 04:17:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Sat Nov 26 04:17:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Sat Nov 26 04:16:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Sat Nov 26 04:16:04 +0000 2016,1,344,15662,
FreeStyleDiabet,Sat Nov 26 04:16:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Sat Nov 26 04:16:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Fri Nov 25 19:05:07 +0000 2016,2,344,15662,
FreeStyleDiabet,Thu Nov 24 20:52:05 +0000 2016,3,344,15662,
FreeStyleDiabet,Thu Nov 24 20:52:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Thu Nov 24 20:52:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Thu Nov 24 20:52:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Thu Nov 24 16:05:36 +0000 2016,2,344,15662,
FreeStyleDiabet,Wed Nov 23 19:15:07 +0000 2016,0,344,15662,
FreeStyleDiabet,Tue Nov 22 19:30:10 +0000 2016,1,344,15662,
FreeStyleDiabet,Tue Nov 22 17:31:06 +0000 2016,0,344,15662,
FreeStyleDiabet,Tue Nov 22 17:31:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Tue Nov 22 17:30:07 +0000 2016,7,344,15662,
FreeStyleDiabet,Tue Nov 22 17:27:04 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 20:00:32 +0000 2016,7,344,15662,
FreeStyleDiabet,Mon Nov 21 18:15:55 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 18:15:06 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 18:15:06 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 18:15:06 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 18:14:08 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 18:14:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Mon Nov 21 18:14:05 +0000 2016,0,344,15662,
FreeStyleDiabet,Fri Nov 18 20:47:05 +0000 2016,1,344,15662,
FreeStyleDiabet,Fri Nov 18 20:47:05 +0000 2016,1,344,15662,
