Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Medtronic,Wed Nov 30 23:10:14 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 23:10:12 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 21:28:22 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 19:03:18 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 18:38:59 +0000 2016,1,58,23562,
Medtronic,Wed Nov 30 17:16:49 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 17:16:44 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 17:14:43 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 00:15:55 +0000 2016,1,58,23562,
Medtronic,Wed Nov 30 00:10:33 +0000 2016,0,58,23562,
Medtronic,Wed Nov 30 00:09:13 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 22:24:57 +0000 2016,1,58,23562,
Medtronic,Tue Nov 29 21:15:05 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 21:12:17 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 18:27:58 +0000 2016,1,58,23562,
Medtronic,Tue Nov 29 17:47:35 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 17:46:57 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 17:42:32 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 17:42:29 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 17:35:52 +0000 2016,0,58,23562,
Medtronic,Tue Nov 29 17:03:18 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 23:54:16 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 22:44:22 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 22:44:17 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 21:24:16 +0000 2016,22,58,23562,
Medtronic,Mon Nov 28 17:25:52 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 17:23:47 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 17:23:31 +0000 2016,0,58,23562,
Medtronic,Mon Nov 28 16:07:58 +0000 2016,2,58,23562,
Medtronic,Mon Nov 28 15:28:30 +0000 2016,0,58,23562,
Medtronic,Sat Nov 26 17:28:04 +0000 2016,0,58,23562,
Medtronic,Sat Nov 26 17:03:56 +0000 2016,0,58,23562,
Medtronic,Sat Nov 26 04:29:05 +0000 2016,0,58,23562,
Medtronic,Sat Nov 26 02:05:00 +0000 2016,0,58,23562,
Medtronic,Thu Nov 24 16:48:05 +0000 2016,2,58,23562,
Medtronic,Wed Nov 23 23:39:18 +0000 2016,0,58,23562,
Medtronic,Wed Nov 23 23:21:41 +0000 2016,1,58,23562,
Medtronic,Wed Nov 23 23:17:19 +0000 2016,0,58,23562,
Medtronic,Wed Nov 23 19:41:46 +0000 2016,0,58,23562,
Medtronic,Wed Nov 23 18:19:58 +0000 2016,1,58,23562,
Medtronic,Wed Nov 23 18:06:27 +0000 2016,0,58,23562,
Medtronic,Tue Nov 22 23:37:33 +0000 2016,0,58,23562,
Medtronic,Tue Nov 22 23:31:01 +0000 2016,0,58,23562,
Medtronic,Tue Nov 22 19:21:59 +0000 2016,2,58,23562,
Medtronic,Tue Nov 22 17:53:33 +0000 2016,0,58,23562,
Medtronic,Tue Nov 22 16:45:56 +0000 2016,0,58,23562,
Medtronic,Tue Nov 22 16:45:28 +0000 2016,0,58,23562,
Medtronic,Tue Nov 22 16:26:57 +0000 2016,4,58,23562,
Medtronic,Tue Nov 22 16:25:17 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 23:16:57 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 23:15:58 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 21:11:34 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 20:39:33 +0000 2016,15,58,23562,
Medtronic,Mon Nov 21 19:49:07 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 19:45:25 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 19:45:21 +0000 2016,0,58,23562,
Medtronic,Mon Nov 21 18:40:58 +0000 2016,11,58,23562,
Medtronic,Sat Nov 19 17:04:06 +0000 2016,0,58,23562,
Medtronic,Sat Nov 19 17:03:51 +0000 2016,0,58,23562,
Medtronic,Fri Nov 18 23:39:52 +0000 2016,0,58,23562,
Medtronic,Fri Nov 18 23:03:54 +0000 2016,0,58,23562,
Medtronic,Fri Nov 18 17:48:23 +0000 2016,0,58,23562,
Medtronic,Fri Nov 18 17:36:39 +0000 2016,0,58,23562,
Medtronic,Fri Nov 18 02:26:58 +0000 2016,1,58,23562,
Medtronic,Thu Nov 17 23:27:09 +0000 2016,2,58,23562,
Medtronic,Thu Nov 17 16:39:51 +0000 2016,0,58,23562,
Medtronic,Thu Nov 17 00:05:04 +0000 2016,0,58,23562,
Medtronic,Wed Nov 16 21:43:02 +0000 2016,5,58,23562,
Medtronic,Wed Nov 16 18:23:20 +0000 2016,0,58,23562,
Medtronic,Wed Nov 16 18:12:55 +0000 2016,0,58,23562,
Medtronic,Wed Nov 16 18:12:52 +0000 2016,0,58,23562,
Medtronic,Wed Nov 16 17:53:42 +0000 2016,0,58,23562,
Medtronic,Wed Nov 16 17:13:23 +0000 2016,0,58,23562,
Medtronic,Wed Nov 16 00:01:58 +0000 2016,0,58,23562,
Medtronic,Tue Nov 15 23:08:23 +0000 2016,0,58,23562,
Medtronic,Tue Nov 15 19:14:58 +0000 2016,1,58,23562,
Medtronic,Tue Nov 15 17:14:51 +0000 2016,0,58,23562,
Medtronic,Tue Nov 15 16:58:19 +0000 2016,0,58,23562,
Medtronic,Tue Nov 15 16:54:00 +0000 2016,3,58,23562,
Medtronic,Tue Nov 15 16:36:15 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 23:29:59 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 23:17:51 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 23:07:01 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 23:05:15 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:43:32 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:42:11 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:40:27 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:39:16 +0000 2016,0,58,23562,
