Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Omnipod,Wed Nov 30 22:35:28 +0000 2016,2,356,649,
Omnipod,Wed Nov 30 20:05:28 +0000 2016,3,356,649,
Omnipod,Mon Nov 28 21:46:55 +0000 2016,1,356,649,
Omnipod,Mon Nov 28 19:54:58 +0000 2016,0,356,649,
Omnipod,Mon Nov 28 19:53:00 +0000 2016,0,356,649,
Omnipod,Mon Nov 28 18:45:30 +0000 2016,3,356,649,
Omnipod,Mon Nov 28 15:55:17 +0000 2016,2,356,649,
Omnipod,Thu Nov 24 17:10:47 +0000 2016,2,356,649,
Omnipod,Thu Nov 24 15:31:16 +0000 2016,4,356,649,
Omnipod,Tue Nov 22 17:20:29 +0000 2016,2,356,649,
Omnipod,Tue Nov 22 16:40:34 +0000 2016,0,356,649,
Omnipod,Mon Nov 21 15:10:35 +0000 2016,13,356,649,
Omnipod,Fri Nov 18 20:15:32 +0000 2016,1,356,649,
Omnipod,Fri Nov 18 15:25:16 +0000 2016,5,356,649,
Omnipod,Thu Nov 17 18:31:13 +0000 2016,0,356,649,
Omnipod,Thu Nov 17 15:31:04 +0000 2016,15,356,649,
Omnipod,Wed Nov 16 20:40:50 +0000 2016,3,356,649,
Omnipod,Tue Nov 15 19:45:38 +0000 2016,2,356,649,
Omnipod,Tue Nov 15 16:35:22 +0000 2016,10,356,649,
Omnipod,Mon Nov 14 19:29:51 +0000 2016,1,356,649,
Omnipod,Mon Nov 14 15:40:31 +0000 2016,2,356,649,
Omnipod,Sun Nov 13 21:15:21 +0000 2016,3,356,649,
Omnipod,Thu Nov 10 20:05:42 +0000 2016,8,356,649,
Omnipod,Thu Nov 10 16:36:25 +0000 2016,14,356,649,
Omnipod,Wed Nov 09 20:31:05 +0000 2016,8,356,649,
Omnipod,Tue Nov 08 19:15:39 +0000 2016,6,356,649,
Omnipod,Tue Nov 08 18:45:34 +0000 2016,5,356,649,
Omnipod,Mon Nov 07 18:05:11 +0000 2016,6,356,649,
Omnipod,Mon Nov 07 15:25:22 +0000 2016,14,356,649,
Omnipod,Fri Nov 04 17:45:34 +0000 2016,1,356,649,
Omnipod,Thu Nov 03 21:58:08 +0000 2016,1,356,649,
Omnipod,Thu Nov 03 17:15:31 +0000 2016,4,356,649,
Omnipod,Wed Nov 02 13:36:08 +0000 2016,3,356,649,
Omnipod,Tue Nov 01 20:05:19 +0000 2016,2,356,649,
Omnipod,Tue Nov 01 20:05:11 +0000 2016,2,356,649,
Omnipod,Tue Nov 01 19:45:08 +0000 2016,10,356,649,
Omnipod,Tue Nov 01 13:25:15 +0000 2016,5,356,649,
Omnipod,Mon Oct 31 16:28:50 +0000 2016,0,356,649,
Omnipod,Mon Oct 31 13:02:31 +0000 2016,0,356,649,
Omnipod,Thu Oct 27 14:23:53 +0000 2016,2,356,649,
Omnipod,Tue Oct 25 18:46:48 +0000 2016,2,356,649,
Omnipod,Tue Oct 25 18:46:36 +0000 2016,4,356,649,
Omnipod,Mon Oct 24 15:05:46 +0000 2016,4,356,649,
