Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
accuchek_us,Wed Nov 30 14:45:24 +0000 2016,0,1422,12238,
accuchek_us,Tue Nov 29 22:03:20 +0000 2016,0,1422,12238,
accuchek_us,Tue Nov 29 20:06:31 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 28 19:36:04 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 28 18:34:05 +0000 2016,0,1422,12238,
accuchek_us,Thu Nov 24 15:44:07 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 23 16:26:32 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 23 16:24:51 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 23 16:19:51 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 23 16:17:49 +0000 2016,1,1422,12238,
accuchek_us,Wed Nov 23 16:17:30 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 23 16:16:03 +0000 2016,10,1422,12238,
accuchek_us,Wed Nov 23 16:14:48 +0000 2016,1,1422,12238,
accuchek_us,Wed Nov 23 16:13:53 +0000 2016,0,1422,12238,
accuchek_us,Tue Nov 22 19:35:00 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 21 16:57:22 +0000 2016,19,1422,12238,
accuchek_us,Mon Nov 21 16:07:38 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 18 14:17:17 +0000 2016,2,1422,12238,
accuchek_us,Fri Nov 18 13:57:01 +0000 2016,3,1422,12238,
accuchek_us,Thu Nov 17 15:42:54 +0000 2016,0,1422,12238,
accuchek_us,Thu Nov 17 13:12:32 +0000 2016,2,1422,12238,
accuchek_us,Wed Nov 16 20:27:46 +0000 2016,143,1422,12238,
accuchek_us,Wed Nov 16 20:27:20 +0000 2016,8,1422,12238,
accuchek_us,Wed Nov 16 20:24:53 +0000 2016,8,1422,12238,
accuchek_us,Wed Nov 16 20:18:00 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 16 01:06:22 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 16 01:04:13 +0000 2016,5,1422,12238,
accuchek_us,Tue Nov 15 17:58:58 +0000 2016,1,1422,12238,
accuchek_us,Tue Nov 15 17:45:42 +0000 2016,0,1422,12238,
accuchek_us,Tue Nov 15 14:15:56 +0000 2016,29,1422,12238,
accuchek_us,Mon Nov 14 22:56:17 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 22:45:10 +0000 2016,12,1422,12238,
accuchek_us,Mon Nov 14 22:42:38 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 22:06:05 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 21:04:35 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 20:35:34 +0000 2016,7,1422,12238,
accuchek_us,Mon Nov 14 20:30:26 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 20:11:40 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 19:58:21 +0000 2016,303,1422,12238,
accuchek_us,Mon Nov 14 19:57:07 +0000 2016,215,1422,12238,
accuchek_us,Mon Nov 14 18:37:19 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 18:30:19 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 18:24:53 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 18:05:16 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 17:03:28 +0000 2016,24,1422,12238,
accuchek_us,Mon Nov 14 16:47:06 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 16:15:03 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 15:54:26 +0000 2016,0,1422,12238,
accuchek_us,Mon Nov 14 15:26:00 +0000 2016,42,1422,12238,
accuchek_us,Mon Nov 14 15:25:32 +0000 2016,2,1422,12238,
accuchek_us,Mon Nov 14 15:24:40 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 15:22:22 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 13:51:33 +0000 2016,1,1422,12238,
accuchek_us,Mon Nov 14 13:17:59 +0000 2016,0,1422,12238,
accuchek_us,Sat Nov 12 17:24:21 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 11 22:15:12 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 11 19:36:53 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 11 19:33:57 +0000 2016,17,1422,12238,
accuchek_us,Fri Nov 11 15:39:17 +0000 2016,2,1422,12238,
accuchek_us,Fri Nov 11 14:32:35 +0000 2016,3,1422,12238,
accuchek_us,Thu Nov 10 16:10:26 +0000 2016,415,1422,12238,
