Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
OneTouch,Wed Nov 30 19:42:21 +0000 2016,0,99,9872,
OneTouch,Tue Nov 29 17:36:05 +0000 2016,0,99,9872,
OneTouch,Thu Nov 24 14:11:01 +0000 2016,0,99,9872,
OneTouch,Wed Nov 23 16:40:04 +0000 2016,1,99,9872,
OneTouch,Tue Nov 22 19:27:24 +0000 2016,1,99,9872,
OneTouch,Tue Nov 22 17:14:06 +0000 2016,0,99,9872,
OneTouch,Mon Nov 21 14:14:55 +0000 2016,0,99,9872,
OneTouch,Mon Nov 21 13:07:06 +0000 2016,0,99,9872,
OneTouch,Thu Nov 17 15:37:43 +0000 2016,0,99,9872,
OneTouch,Thu Nov 17 12:02:04 +0000 2016,0,99,9872,
OneTouch,Wed Nov 16 17:34:00 +0000 2016,0,99,9872,
OneTouch,Wed Nov 16 17:28:18 +0000 2016,0,99,9872,
OneTouch,Mon Nov 14 19:04:01 +0000 2016,0,99,9872,
OneTouch,Fri Nov 11 13:01:04 +0000 2016,0,99,9872,
OneTouch,Thu Nov 10 17:22:59 +0000 2016,1,99,9872,
OneTouch,Thu Nov 10 16:57:01 +0000 2016,0,99,9872,
OneTouch,Thu Nov 03 16:21:31 +0000 2016,0,99,9872,
OneTouch,Wed Nov 02 12:48:06 +0000 2016,0,99,9872,
OneTouch,Tue Nov 01 11:57:05 +0000 2016,1,99,9872,
OneTouch,Mon Oct 31 22:59:24 +0000 2016,1,99,9872,
OneTouch,Sat Oct 29 11:24:06 +0000 2016,1,99,9872,
OneTouch,Thu Oct 27 15:33:04 +0000 2016,0,99,9872,
OneTouch,Wed Oct 26 17:58:52 +0000 2016,0,99,9872,
OneTouch,Wed Oct 26 14:24:07 +0000 2016,0,99,9872,
OneTouch,Mon Oct 24 14:43:24 +0000 2016,0,99,9872,
OneTouch,Sat Oct 22 13:17:03 +0000 2016,1,99,9872,
OneTouch,Thu Oct 20 20:21:42 +0000 2016,0,99,9872,
OneTouch,Thu Oct 20 14:37:08 +0000 2016,0,99,9872,
OneTouch,Wed Oct 19 16:24:48 +0000 2016,0,99,9872,
OneTouch,Tue Oct 18 16:57:03 +0000 2016,0,99,9872,
OneTouch,Sun Oct 16 13:21:02 +0000 2016,0,99,9872,
OneTouch,Sat Oct 15 17:44:44 +0000 2016,0,99,9872,
OneTouch,Sat Oct 15 17:32:01 +0000 2016,0,99,9872,
OneTouch,Fri Oct 14 23:39:23 +0000 2016,0,99,9872,
OneTouch,Mon Oct 10 17:44:14 +0000 2016,0,99,9872,
OneTouch,Mon Oct 10 15:44:00 +0000 2016,0,99,9872,
OneTouch,Mon Oct 10 12:52:08 +0000 2016,0,99,9872,
OneTouch,Sun Oct 09 15:18:40 +0000 2016,0,99,9872,
OneTouch,Sat Oct 08 15:43:26 +0000 2016,0,99,9872,
OneTouch,Sat Oct 08 15:03:55 +0000 2016,0,99,9872,
OneTouch,Fri Oct 07 11:52:02 +0000 2016,1,99,9872,
OneTouch,Wed Oct 05 18:46:55 +0000 2016,0,99,9872,
OneTouch,Wed Oct 05 14:26:02 +0000 2016,1,99,9872,
OneTouch,Tue Oct 04 22:05:41 +0000 2016,0,99,9872,
OneTouch,Tue Oct 04 11:07:05 +0000 2016,16,99,9872,
OneTouch,Mon Oct 03 21:07:05 +0000 2016,2,99,9872,
OneTouch,Mon Oct 03 14:59:59 +0000 2016,0,99,9872,
OneTouch,Thu Sep 29 13:55:44 +0000 2016,0,99,9872,
OneTouch,Wed Sep 28 12:40:13 +0000 2016,0,99,9872,
OneTouch,Tue Sep 27 12:39:40 +0000 2016,0,99,9872,
OneTouch,Mon Sep 26 10:56:06 +0000 2016,0,99,9872,
OneTouch,Thu Sep 22 15:47:02 +0000 2016,0,99,9872,
OneTouch,Wed Sep 21 23:22:54 +0000 2016,0,99,9872,
OneTouch,Wed Sep 21 11:15:05 +0000 2016,0,99,9872,
OneTouch,Tue Sep 20 22:55:17 +0000 2016,0,99,9872,
OneTouch,Mon Sep 19 12:03:05 +0000 2016,1,99,9872,
OneTouch,Mon Sep 19 12:01:06 +0000 2016,1,99,9872,
OneTouch,Mon Sep 19 11:04:04 +0000 2016,0,99,9872,
OneTouch,Sat Sep 17 17:27:02 +0000 2016,0,99,9872,
OneTouch,Sat Sep 17 17:18:10 +0000 2016,0,99,9872,
