Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Tandem,Wed Nov 30 20:25:07 +0000 2016,0,499,4604,
Tandem,Tue Nov 29 17:47:38 +0000 2016,0,499,4604,
Tandem,Tue Nov 29 13:45:25 +0000 2016,0,499,4604,
Tandem,Thu Nov 24 20:15:11 +0000 2016,0,499,4604,
Tandem,Thu Nov 24 16:30:20 +0000 2016,0,499,4604,
Tandem,Thu Nov 24 15:27:01 +0000 2016,2,499,4604,
Tandem,Thu Nov 24 15:02:51 +0000 2016,0,499,4604,
Tandem,Thu Nov 24 07:00:50 +0000 2016,0,499,4604,
Tandem,Wed Nov 23 02:26:36 +0000 2016,0,499,4604,
Tandem,Wed Nov 23 02:25:42 +0000 2016,0,499,4604,
Tandem,Mon Nov 21 21:20:18 +0000 2016,1,499,4604,
Tandem,Mon Nov 21 20:14:08 +0000 2016,0,499,4604,
Tandem,Mon Nov 21 19:12:09 +0000 2016,3,499,4604,
Tandem,Thu Nov 17 21:20:11 +0000 2016,3,499,4604,
Tandem,Thu Nov 17 15:05:23 +0000 2016,1,499,4604,
Tandem,Wed Nov 16 23:45:11 +0000 2016,0,499,4604,
Tandem,Wed Nov 16 00:35:01 +0000 2016,0,499,4604,
Tandem,Wed Nov 16 00:13:08 +0000 2016,0,499,4604,
Tandem,Wed Nov 16 00:11:11 +0000 2016,0,499,4604,
Tandem,Tue Nov 15 18:33:27 +0000 2016,0,499,4604,
Tandem,Tue Nov 15 18:33:02 +0000 2016,0,499,4604,
Tandem,Tue Nov 15 18:31:32 +0000 2016,0,499,4604,
Tandem,Mon Nov 14 21:26:05 +0000 2016,0,499,4604,
Tandem,Mon Nov 14 20:50:12 +0000 2016,12,499,4604,
Tandem,Mon Nov 14 17:25:22 +0000 2016,0,499,4604,
Tandem,Sun Nov 13 15:05:10 +0000 2016,5,499,4604,
Tandem,Sat Nov 12 15:01:46 +0000 2016,2,499,4604,
Tandem,Fri Nov 11 23:47:51 +0000 2016,1,499,4604,
Tandem,Thu Nov 10 19:04:45 +0000 2016,0,499,4604,
Tandem,Thu Nov 10 13:45:18 +0000 2016,4,499,4604,
Tandem,Wed Nov 09 22:25:11 +0000 2016,1,499,4604,
Tandem,Wed Nov 09 21:01:11 +0000 2016,0,499,4604,
Tandem,Tue Nov 08 01:13:52 +0000 2016,0,499,4604,
Tandem,Tue Nov 08 01:13:14 +0000 2016,1,499,4604,
Tandem,Tue Nov 08 01:12:17 +0000 2016,0,499,4604,
Tandem,Mon Nov 07 18:50:08 +0000 2016,1,499,4604,
Tandem,Mon Nov 07 15:02:03 +0000 2016,0,499,4604,
Tandem,Sat Nov 05 14:01:35 +0000 2016,5,499,4604,
Tandem,Thu Nov 03 14:01:07 +0000 2016,2,499,4604,
Tandem,Wed Nov 02 21:33:21 +0000 2016,4,499,4604,
Tandem,Wed Nov 02 21:07:54 +0000 2016,0,499,4604,
Tandem,Wed Nov 02 00:55:59 +0000 2016,0,499,4604,
Tandem,Wed Nov 02 00:54:28 +0000 2016,0,499,4604,
Tandem,Wed Nov 02 00:51:21 +0000 2016,0,499,4604,
Tandem,Tue Nov 01 22:41:13 +0000 2016,0,499,4604,
Tandem,Tue Nov 01 22:22:23 +0000 2016,2,499,4604,
Tandem,Tue Nov 01 22:15:42 +0000 2016,0,499,4604,
Tandem,Tue Nov 01 20:30:19 +0000 2016,0,499,4604,
Tandem,Mon Oct 31 16:02:29 +0000 2016,0,499,4604,
Tandem,Fri Oct 28 20:45:12 +0000 2016,0,499,4604,
Tandem,Wed Oct 26 22:50:27 +0000 2016,0,499,4604,
Tandem,Mon Oct 24 14:03:14 +0000 2016,0,499,4604,
Tandem,Mon Oct 24 12:45:40 +0000 2016,6,499,4604,
Tandem,Sat Oct 22 16:01:04 +0000 2016,1,499,4604,
Tandem,Fri Oct 21 23:31:26 +0000 2016,1,499,4604,
Tandem,Thu Oct 20 22:52:40 +0000 2016,0,499,4604,
Tandem,Thu Oct 20 20:44:42 +0000 2016,0,499,4604,
Tandem,Thu Oct 20 20:41:35 +0000 2016,0,499,4604,
Tandem,Thu Oct 20 20:41:32 +0000 2016,0,499,4604,
Tandem,Thu Oct 20 19:30:38 +0000 2016,0,499,4604,
Tandem,Thu Oct 20 18:47:39 +0000 2016,0,499,4604,
Tandem,Thu Oct 20 14:03:58 +0000 2016,0,499,4604,
Tandem,Wed Oct 19 20:25:05 +0000 2016,1,499,4604,
Tandem,Wed Oct 19 18:03:08 +0000 2016,0,499,4604,
Tandem,Tue Oct 18 16:00:39 +0000 2016,0,499,4604,
Tandem,Mon Oct 17 23:38:26 +0000 2016,0,499,4604,
Tandem,Fri Oct 14 22:24:52 +0000 2016,0,499,4604,
